2026-01-19 19:22:21 | INFO | merge_cycles | Starting full NHANES merge pipeline
2026-01-19 19:22:21 | INFO | merge_cycles | Processing cycle: 2011-2012
2026-01-19 19:22:21 | INFO | merge_cycles | Starting merge for cycle folder: ./data/cleaned/2011-2012
2026-01-19 19:22:21 | INFO | merge_cycles | Found 15 cleaned files
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded ALB_CR_G.parquet with 7821 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded BIOPRO_G.parquet with 6549 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded BMX_G.parquet with 9338 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded BPX_G.parquet with 9338 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded DEMO_G.parquet with 9756 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded DIQ_G.parquet with 9364 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded DR1TOT_G.parquet with 9338 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded GHB_G.parquet with 6549 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded GLU_G.parquet with 3239 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded HDL_G.parquet with 7821 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded SMQFAM_G.parquet with 9756 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded SMQRTU_G.parquet with 6549 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded SMQ_G.parquet with 6790 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded TCHOL_G.parquet with 7821 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded TRIGLY_G.parquet with 3239 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Merged cycle dataset shape: (9756, 23)
2026-01-19 19:22:21 | INFO | merge_cycles | Processing cycle: 2013-2014
2026-01-19 19:22:21 | INFO | merge_cycles | Starting merge for cycle folder: ./data/cleaned/2013-2014
2026-01-19 19:22:21 | INFO | merge_cycles | Found 17 cleaned files
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded ALB_CR_H.parquet with 8291 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded BIOPRO_H.parquet with 6979 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded BMX_H.parquet with 9813 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded BPX_H.parquet with 9813 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded DEMO_H.parquet with 10175 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded DIQ_H.parquet with 9770 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded DR1TOT_H.parquet with 9813 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded GHB_H.parquet with 6979 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded GLU_H.parquet with 3329 rows
2026-01-19 19:22:21 | INFO | merge_cycles | Loaded HDL_H.parquet with 8291 rows
